ID,final_classification,mean_period,mean_lower_error,mean_upper_error,mean_significance,mean_iou
271400,reliable,20.391517128874387,0.6412354781653811,0.6705893855036997,1.0,1.0
271465,reliable,20.391517128874387,0.3276740391637922,0.7289847975134727,1.0,1.0
271503,reliable,19.23816852635629,0.3602597894154229,1.3567146903824607,1.0,1.0
271766,reliable,11.72332942555686,0.2073299588393968,0.3007563920301699,1.0,1.0
272127,reliable,92.4214417744917,7.527273033253323,5.1951746113060295,1.0,1.0
272559,reliable,29.97601918465228,2.021157172699965,1.8354846266705105,1.0,1.0
273137,reliable,31.847133757961785,0.5667349170047871,2.1541249203608785,1.0,1.0
273808,reliable,24.86325211337643,1.5568269845375973,0.5295086491733123,1.0,1.0
275565,reliable,19.99200319872051,0.5685644384961712,0.4429383360043957,1.0,1.0
275646,reliable,25.484199796126404,0.6276457611835724,1.6648949829828084,1.0,1.0
275718,reliable,19.6078431372549,0.2212931732607899,0.1513510051604818,1.0,1.0
277753,reliable,25.484199796126404,0.7211626340935311,1.661980259203169,1.0,1.0
278166,reliable,31.847133757961785,1.0099185073055423,1.552649362341974,1.0,1.0
278640,reliable,42.44482173174873,2.282588389379363,1.6884226636160378,1.0,1.0
278761,reliable,22.163120567375888,0.558361167937818,1.2784255178040844,1.0,1.0
278980,reliable,26.824034334763947,0.6786193433769334,1.8883921546505744,1.0,1.0
279177,reliable,32.87310979618672,0.8718124254011741,2.7814771997661225,1.0,1.0
279873,reliable,42.44482173174873,1.1507147003856772,4.131650553503043,1.0,1.0
280497,reliable,13.781697905181918,0.1133742390201426,0.453538930171339,1.0,1.0
281413,reliable,19.99200319872051,0.5632960975140868,0.938069630051544,1.0,1.0
281616,reliable,20.807324178110697,0.757480895100373,0.3115831823622415,1.0,1.0
283441,reliable,25.484199796126404,0.884907929349346,1.0351754932190218,1.0,1.0
285832,reliable,25.484199796126404,1.934554310829245,2.1658221120802743,1.0,1.0
285936,reliable,18.53911753800519,0.4355922280241309,1.228121637444552,1.0,1.0
288363,reliable,48.49660523763337,3.157937678890562,0.7464313431934144,1.0,1.0
289960,reliable,40.74979625101874,2.393998739654947,3.2413200996157485,1.0,1.0
290298,reliable,32.87310979618672,1.502173055194948,2.6392476631150146,1.0,1.0
291272,reliable,16.186468112657817,0.4852074159732282,0.5685724579440183,1.0,1.0
292024,reliable,28.31257078142695,1.3126123593721708,2.776850788429364,1.0,1.0
294737,reliable,101.6260162601626,7.810990756242475,9.503611796558346,1.0,1.0
295057,reliable,40.74979625101874,0.4157611391655536,1.3307023634205208,1.0,1.0
296126,reliable,29.120559114735,0.3532312966473512,0.2548927838420347,1.0,1.0
296244,reliable,13.245033112582782,0.1317434788797271,0.3299351760650353,1.0,1.0
296682,reliable,19.99200319872051,0.4620482876447944,1.095901815620138,1.0,1.0
297654,reliable,29.120559114735,1.194727953587627,2.202706362643376,1.0,1.0
297978,reliable,40.74979625101874,1.4187062044093253,1.8245568170098707,1.0,1.0
298171,reliable,35.137034434293746,2.865603954655654,3.2207256409038365,1.0,1.0
298684,reliable,18.53911753800519,0.4961268859995975,0.3031232022447199,1.0,1.0
298974,reliable,24.271844660194173,0.5952521637119972,1.4876171728702232,1.0,1.0
301117,reliable,16.995241332426918,0.4011888254466444,0.4153692923470278,1.0,1.0
302292,reliable,29.976019184652284,1.2704159466514326,0.9732757889985066,1.0,1.0
302701,reliable,37.73584905660377,1.9796366246002748,2.8034225946625,1.0,1.0
302828,reliable,20.391517128874387,0.5901376161616199,0.1796764981830705,1.0,1.0
302910,reliable,21.240441801189466,0.3146729954724669,1.4443893660290783,1.0,1.0
303616,reliable,24.271844660194173,0.9716116382729468,1.930090792520815,1.0,1.0
304655,reliable,24.86325211337643,0.7796723065917348,1.7790667379784004,1.0,1.0
305913,reliable,35.137034434293746,1.722035812084478,2.204529545023391,1.0,1.0
306686,reliable,33.96739130434783,1.1643186505257148,1.837727361602603,1.0,1.0
308069,reliable,36.3901018922853,1.9137959669522289,2.891724116864289,1.0,1.0
309256,reliable,42.44482173174873,1.453349557125165,2.139681050755528,1.0,1.0
309895,reliable,22.655188038060725,0.7264629956874913,0.9561074854626844,1.0,1.0
312379,reliable,37.73584905660377,2.0224307936359835,1.564102157096272,1.0,1.0
312983,reliable,26.824034334763947,1.038711642176963,1.487702746272138,1.0,1.0
313431,reliable,26.13695765812859,0.8010387610068399,1.677319668893304,1.0,1.0
314939,reliable,37.73584905660377,0.8480516709680259,3.6923498951955978,1.0,1.0
317599,reliable,101.6260162601626,3.70110685721545,6.72562438220163,1.0,1.0
317874,reliable,101.6260162601626,3.5395074727584017,4.941407994103017,1.0,1.0
320258,reliable,44.28697962798937,1.996365191924788,0.2540135981901841,1.0,1.0
322133,reliable,20.807324178110697,0.7534337237551512,0.1406328220446866,1.0,1.0
322385,reliable,202.4291497975709,6.577523663596509,5.313279312537361,1.0,1.0
322408,reliable,36.3901018922853,1.2648872138684697,3.55338845064761,1.0,1.0
322524,reliable,33.96739130434783,1.0893713627174575,2.1708354197340114,1.0,1.0
323361,reliable,30.883261272390364,2.950511382364102,1.378833613560623,1.0,1.0
324833,reliable,63.61323155216286,5.358778249546994,0.4275350878477155,1.0,1.0
326898,reliable,92.4214417744917,1.812325585944606,1.581420663444007,1.0,1.0
328031,reliable,50.91649694501019,2.224470487678033,4.6792364654918615,1.0,1.0
328256,reliable,24.271844660194173,0.8045433542122389,1.889656037710843,1.0,1.0
331106,reliable,28.31257078142695,0.6896940480659239,1.0829280783731008,1.0,1.0
332324,reliable,30.883261272390364,1.3751846541259063,2.379877423947299,1.0,1.0
334145,reliable,23.707918444760548,0.508132977437846,0.7443989814944771,1.0,1.0
336540,reliable,19.99200319872051,0.5693270110028692,1.2248982454602704,1.0,1.0
336771,reliable,24.86325211337643,0.263529424070331,1.641571368704945,1.0,1.0
338303,reliable,33.96739130434783,0.5973800423725564,2.5079032635760257,1.0,1.0
339600,reliable,40.74979625101874,2.086299752379361,3.619445179644643,1.0,1.0
340811,reliable,26.13695765812859,0.9641964683783008,1.624192386796533,1.0,1.0
344830,reliable,29.97601918465228,1.1114830688360016,0.9957095454826614,1.0,1.0
345384,reliable,25.484199796126404,0.6794154111415835,1.53528660789841,1.0,1.0
345655,reliable,26.824034334763947,1.1435006950566802,1.728377361946837,1.0,1.0
345685,reliable,29.120559114735,1.4253664395855452,0.6904898514110371,1.0,1.0
345721,reliable,18.53911753800519,0.1779954175015632,1.2344138393325288,1.0,1.0
345999,reliable,92.42144177449168,2.580174582884609,4.798664944078297,1.0,1.0
346050,reliable,29.97601918465228,1.326024375409144,0.2180011457924671,1.0,1.0
347420,reliable,19.23816852635629,0.5288801431722057,1.0054403665301308,1.0,1.0
350919,reliable,19.6078431372549,0.384838790616957,0.6870720190102517,1.0,1.0
352164,reliable,22.65518803806072,1.4228762819904333,0.7423348419493365,1.0,1.0
353678,reliable,16.186468112657817,0.4404627065151523,0.714796293670215,1.0,1.0
355531,reliable,22.655188038060725,0.1514813834318218,0.9867142357857476,1.0,1.0
356583,reliable,29.97601918465228,1.164824359675439,1.4429393422177237,1.0,1.0
359088,reliable,27.548209366391188,1.0611868051706177,1.9046198524099367,1.0,1.0
359762,reliable,30.88326127239036,0.8902917741333312,2.2374323537090213,1.0,1.0
360146,reliable,50.91649694501019,3.6050745496394967,4.910252130021839,1.0,1.0
363807,reliable,23.707918444760548,0.6527313141993822,1.3477534290182511,1.0,1.0
364679,reliable,16.186468112657817,0.3343379487853148,0.2453843227329137,1.0,1.0
365229,reliable,78.24726134585289,3.126751885465822,4.207214826632921,1.0,1.0
443377,reliable,16.995241332426918,0.3175330447709719,0.6958862843221674,1.0,1.0
443513,reliable,24.271844660194173,1.1233482010457578,0.102426937423715,1.0,1.0
451760,reliable,13.245033112582782,0.1317434788797271,0.3299351760650353,1.0,1.0
452764,reliable,15.688735487919677,0.4932200303775804,0.4996173430880084,1.0,1.0
454074,reliable,26.824034334763947,1.399604291334473,1.1033421104638848,1.0,1.0
454224,reliable,35.137034434293746,1.83131958323564,3.2963695216390647,1.0,1.0
454439,reliable,16.186468112657817,1.4751240296705657,1.580260767528724,1.0,1.0
455650,reliable,19.99200319872051,0.5588037269221324,1.1146974131367813,1.0,1.0
455710,reliable,44.28697962798937,0.1179142764263474,4.141187319520228,1.0,1.0
455892,reliable,32.87310979618672,1.5609843710458584,3.231106770107047,1.0,1.0
456094,reliable,24.271844660194173,0.6985648757075076,0.601644296314312,1.0,1.0
456856,reliable,14.56876456876457,0.04602368358222,0.3015977739356934,1.0,1.0
457035,reliable,40.74979625101874,2.3102412152668705,0.9346204741382138,1.0,1.0
457260,reliable,22.163120567375888,0.6148748053422324,0.8917851908308414,1.0,1.0
457587,reliable,15.933715742511154,0.363563545589292,0.3414176219597706,1.0,1.0
459290,reliable,16.186468112657817,0.4852074159732282,0.5685724579440183,1.0,1.0
461977,reliable,202.4291497975709,6.655498875894239,7.034959690583719,1.0,1.0
462613,reliable,18.20830298616169,0.45033395504115886,0.8312931388706353,1.0,1.0
463144,reliable,15.933715742511154,0.3498994418660253,0.6905862016804569,1.0,1.0
463328,reliable,17.88908765652952,0.4623842950554149,1.0007966694866717,1.0,1.0
464050,reliable,16.44736842105263,0.19383863116752656,0.20588518119297908,1.0,1.0
465876,reliable,27.548209366391188,0.4266841431763311,0.4984449605124581,1.0,1.0
466150,reliable,24.86325211337643,1.092654686307693,1.602209584279521,1.0,1.0
696447,reliable,29.120559114735,1.194750612187928,2.399559458703433,1.0,1.0
697299,reliable,29.120559114735,1.2221580757045167,2.156978263925872,1.0,1.0
697591,reliable,30.88326127239036,1.096212687696081,3.024375066243984,1.0,1.0
698547,reliable,28.31257078142695,1.1597878607832008,1.2464704356047314,1.0,1.0
700156,reliable,31.847133757961785,1.9158681724831224,0.8700529698763759,1.0,1.0
701402,reliable,25.484199796126404,0.9304594795095404,1.5886126186330998,1.0,1.0
704109,reliable,29.976019184652284,1.3769366012585185,2.0242825668953786,1.0,1.0
704241,reliable,23.169601482854493,0.5554867321741526,0.7988971520053489,1.0,1.0
704664,reliable,28.31257078142695,0.4860236377419475,2.051917344307593,1.0,1.0
705383,reliable,27.548209366391184,0.5340237511205856,0.7591546478941744,1.0,1.0
706020,reliable,29.120559114735,1.2700548049193472,2.1574157778027114,1.0,1.0
706173,reliable,29.97601918465228,0.809145049154349,2.97746437678482,1.0,1.0
706184,reliable,27.548209366391188,0.5472733356470911,2.016798759044584,1.0,1.0
706543,reliable,67.84260515603799,3.2074129430551963,5.1401986905094645,1.0,1.0
706581,reliable,29.97601918465228,1.0961011043105555,0.7233483042875299,1.0,1.0
707095,reliable,30.88326127239036,0.997903349197081,2.0814359531248385,1.0,1.0
707224,reliable,29.120559114735,0.784237379564896,1.145316581096388,1.0,1.0
707507,reliable,26.13695765812859,0.7298487686718751,0.9406313216322068,1.0,1.0
708799,reliable,36.3901018922853,1.7308761752446742,3.431314218946809,1.0,1.0
709077,reliable,27.548209366391184,0.7087220834366228,0.146140683510179,1.0,1.0
710525,reliable,101.6260162601626,6.52756033302822,4.7023149554917865,1.0,1.0
710765,reliable,29.976019184652284,0.8355232021040919,1.2079590153231692,1.0,1.0
711185,reliable,37.73584905660377,0.6558852202132641,1.4558809602320435,1.0,1.0
713060,reliable,22.163120567375888,0.470027253064444,1.3681745279182316,1.0,1.0
715047,reliable,59.880239520958085,1.3286978487825607,1.1666010238828832,1.0,1.0
715976,reliable,28.31257078142695,0.3682388183329195,0.8108026843651572,1.0,1.0
716056,reliable,84.74576271186442,2.3305102517913525,7.419487068958134,1.0,1.0
716430,reliable,46.29629629629629,0.9560043335176474,2.8667798013493453,1.0,1.0
718706,reliable,29.976019184652284,1.3928802896933803,1.3756210058855771,1.0,1.0
